,0,1,2,3,4
0,Mandinka,Wolof,English,Taxonomic name,Section
1,Kano,Kani,Chilli pepper,Capsicum frutescens,9.5
2,Mentengo,"Mentem, tamateh",Tomato,Lycopersicon esculentum,9.5
3,Njengo,Banga,Pumpkin,Cucurbita pepo,9.5
4,'atanseo,Batense,"Aubergine, egg plant",Solanum melongena,9.5
5,Juts and pulses,,,,
6,Kuruo,Guru,"Cola nut, kola nut",Cola acuminata,10.3
7,Tulingo,Nete tuo,Locust bean seeds (fermented),Parkia biglobosa,9.5.1
8,oso,Nyeheh,"Cow-pea, black-eyed pea or black-eyed bean",Vigna unguiculata,9.5.1
9,Tianding kolon,Tia kolon,Bambara groundnut,Voandzeia subterranea,10.3
10,Tio,Guerteh,"Groundnut, peanut",Arachis hypogaea,8
11,ruits,,,,
12,Banano,Banana,Banana,Musa sp. prob sapientum,10.2
13,Biabo,Guyab,Guava,Psidium guajava,10.2
14,Casuo,Cashew,Cashew,Anacardium occidentale,10.2
15,Duto,Mango,Bush or wild mango,Cordyla africana,10.1
16,emuna mesengo,Lemong,"Lime, sour lime",Citrus aurantifolia,10.2
17,Jemuno,Sorance,Sweet orange,Citrus sinensis,10.2
18,Netto,Netteh,Locust bean,Parkia biglobosa,9.5.1
19,akaia,Papakaya,Pawpaw or papaya,Carica papaya,10.2
20,ito,Bui,Baobab,Adansonia digitata,10.2
21,'unkungo,Sisob,"Sour sop, custard apple",Anona spp.,10.2
22,Tallo,Dittah,Tallow,Detarium senegalense,10.2
23,Tamba,Neew,Gingerbread plum,Parinari macrophylla,10.2
24,Tengo,Tirr,Oil palm,Elaeis guineensis,14
25,Tomborongo,Saedaim,Jujube,Ziziphus jujuba,10.2
26,Tubab duto,Mango,Mango,Mangifera indica,10.1
